"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Jahmyr Gibbs","DET","274.7","1382.5","13.8","71.3","581.0","4.1","1.1","337.4"
"Bijan Robinson","ATL","285.2","1392.1","8.8","77.3","705.2","3.5","1.8","318.4"
"Christian McCaffrey","SF","269.7","1094.6","8.7","78.4","691.8","4.6","1.1","295.4"
"Jonathan Taylor","IND","326.6","1504.6","12.9","42.9","341.5","1.5","1.7","288.7"
"Derrick Henry","BAL","314.0","1569.8","13.4","18.1","175.1","0.7","1.7","264.8"
"De'Von Achane","MIA","238.3","1200.2","6.0","65.2","490.7","4.0","1.0","259.7"
"James Cook III","BUF","287.7","1405.1","10.3","33.3","283.7","1.9","2.4","253.9"
"Chase Brown","CIN","238.8","1037.5","7.8","63.8","427.6","4.0","1.1","246.7"
"Saquon Barkley","PHI","295.8","1299.1","8.2","41.7","330.4","2.1","1.0","243.8"
"Kenneth Walker III","KC","262.5","1192.1","8.7","45.8","353.4","1.2","0.9","235.2"
"Ashton Jeanty","LV","258.0","1040.2","7.4","56.7","400.6","3.0","1.1","232.4"
"Josh Jacobs","GB","274.2","1102.2","11.7","35.3","280.0","1.2","1.3","231.0"
"Omarion Hampton","LAC","243.7","1034.8","9.5","50.2","342.8","1.9","1.0","229.1"
"Jeremiyah Love","ARI","237.2","1068.9","7.2","54.7","429.1","2.1","2.2","228.6"
"Kyren Williams","LAR","240.2","1118.4","10.1","33.8","239.6","2.2","1.5","223.3"
"Breece Hall","NYJ","249.0","1113.5","6.2","46.4","404.1","2.2","1.7","222.2"
"Javonte Williams","DAL","256.2","1160.4","10.4","33.0","192.0","1.2","1.6","217.8"
"Travis Etienne Jr.","NO","253.2","1070.7","5.4","45.3","356.8","3.0","1.0","214.0"
"Cam Skattebo","NYG","236.7","987.3","7.9","43.3","343.3","2.2","1.6","212.2"
"D'Andre Swift","CHI","233.4","1054.4","8.0","35.1","303.5","1.0","1.0","205.9"
"Bucky Irving","TB","252.7","1004.7","5.8","39.6","333.3","2.2","1.0","199.8"
"Quinshon Judkins","CLE","289.9","1107.3","8.1","32.0","219.3","0.6","0.9","199.1"
"Bhayshul Tuten","JAC","239.4","979.6","8.2","29.2","222.1","2.1","2.2","192.7"
"David Montgomery","HOU","231.5","959.7","7.7","30.8","228.2","0.5","1.5","180.5"
"Jadarian Price","SEA","215.5","913.2","8.0","26.4","220.1","1.1","2.0","176.8"
"TreVeyon Henderson","NE","185.7","852.2","6.9","35.2","244.2","1.2","0.8","173.8"
"Rhamondre Stevenson","NE","168.6","723.1","6.9","39.5","334.7","1.7","2.1","173.0"
"Jaylen Warren","PIT","188.0","827.5","4.8","42.4","322.1","1.5","0.9","172.1"
"Tony Pollard","TEN","236.2","1034.1","5.5","31.9","208.2","0.5","2.1","171.9"
"J.K. Dobbins","DEN","219.9","1027.8","6.9","19.5","104.5","0.6","0.7","166.4"
"Rico Dowdle","PIT","200.0","870.1","5.8","31.7","222.3","1.0","1.0","164.4"
"Chuba Hubbard","CAR","178.2","728.9","5.0","36.4","256.4","1.8","0.9","155.4"
"Jonathon Brooks","CAR","188.3","777.9","5.1","29.6","225.2","1.1","1.5","149.3"
"Kenny Gainwell","TB","116.6","512.1","4.2","49.7","351.9","2.0","0.9","146.7"
"Kyle Monangai","CHI","191.3","818.0","5.2","22.9","195.0","0.4","0.7","144.8"
"Rachaad White","WAS","137.0","605.6","5.4","35.8","247.9","1.6","0.8","143.4"
"Jacory Croskey-Merritt","WAS","185.1","831.7","7.5","12.4","91.3","0.2","1.8","141.2"
"Aaron Jones Sr.","MIN","149.9","638.8","3.1","40.7","300.7","1.7","1.0","140.8"
"RJ Harvey","DEN","107.6","406.3","4.0","45.9","341.6","3.2","0.7","139.2"
"Jordan Mason","MIN","192.8","878.7","6.1","14.5","75.8","0.1","1.1","138.0"
"Blake Corum","LAR","167.6","801.5","6.4","11.9","80.4","0.2","0.7","132.6"
"Tyjae Spears","TEN","94.8","379.6","3.0","45.8","306.1","1.2","0.7","115.2"
"Isiah Pacheco","DET","148.2","628.7","3.8","21.6","135.1","0.9","0.8","113.6"
"Zach Charbonnet","SEA","130.5","533.0","5.6","19.8","147.0","0.5","0.7","113.2"
"Woody Marks","HOU","142.7","555.8","2.7","24.1","197.0","1.8","0.8","112.3"
"Alvin Kamara","NO","114.0","440.1","2.4","32.6","228.3","1.0","0.8","101.6"
"Justice Hill","BAL","56.4","273.7","2.2","32.7","283.4","1.8","0.2","95.7"
"Chris Rodriguez Jr.","JAC","135.5","560.8","5.1","5.4","42.8","0.1","0.6","92.9"
"Mike Washington Jr.","LV","126.0","487.1","3.1","17.7","143.5","0.6","1.2","92.0"
"AJ Dillon","CAR","121.0","532.0","3.0","18.0","146.0","1.0","5.0","90.8"
"Dylan Sampson","CLE","74.2","257.2","1.4","36.3","285.1","2.1","1.2","90.6"
"Tyler Allgeier","ARI","111.7","425.3","4.7","17.1","110.9","0.2","0.6","90.0"
"Braelon Allen","NYJ","111.8","449.0","4.5","13.9","100.6","0.7","1.7","89.5"
"Samaje Perine","CIN","98.5","441.8","3.7","17.9","135.7","0.4","1.9","87.2"
"Kaelon Black","SF","113.6","452.7","3.6","10.6","94.9","0.7","1.2","83.4"
"Tyrone Tracy Jr.","NYG","86.5","366.1","1.8","23.6","181.0","1.1","0.6","83.1"
"Ty Johnson","BUF","51.9","222.2","2.1","22.8","244.0","2.1","0.2","82.9"
"Brian Robinson Jr.","ATL","120.2","517.1","3.9","7.3","46.7","0.1","0.7","82.5"
"MarShawn Lloyd","GB","93.8","401.5","3.4","16.0","115.3","0.4","0.4","81.5"
"Tank Bigsby","PHI","104.6","510.9","4.2","3.8","31.8","0.1","0.7","80.3"
