"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Ja'Marr Chase","CIN","120.7","1,586.1","12.2","1.6","12.7","0.0","0.6","292.6"
"Justin Jefferson","MIN","105.2","1,459.4","9.6","0.5","2.2","0.0","0.6","255.1"
"CeeDee Lamb","DAL","110.9","1,385.9","8.0","9.2","59.3","0.3","1.0","247.6"
"Puka Nacua","LAR","104.9","1,362.7","6.9","10.7","61.2","0.6","0.6","238.6"
"Malik Nabers","NYG","107.0","1,343.3","8.2","2.6","12.2","0.0","0.6","237.3"
"Amon-Ra St. Brown","DET","110.3","1,263.4","8.8","1.9","12.6","0.1","0.9","234.1"
"Nico Collins","HOU","91.9","1,312.1","8.9","0.0","1.6","0.0","0.5","229.6"
"Brian Thomas Jr.","JAC","91.9","1,298.2","8.6","3.8","24.9","0.0","0.6","228.7"
"Drake London","ATL","95.9","1,233.0","8.2","0.3","2.0","0.0","0.6","219.5"
"Tyreek Hill","MIA","94.2","1,182.6","7.7","7.2","40.7","0.1","0.6","215.4"
"A.J. Brown","PHI","84.9","1,243.6","8.4","0.0","0.0","0.0","0.9","215.1"
"Ladd McConkey","LAC","90.5","1,209.5","7.4","0.0","1.4","0.0","0.7","209.1"
"Mike Evans","TB","79.7","1,071.3","9.9","0.0","0.0","0.0","0.5","205.6"
"Tee Higgins","CIN","86.6","1,099.8","8.9","0.0","0.0","0.0","0.9","205.0"
"Davante Adams","LAR","85.2","1,100.3","8.3","0.3","0.0","0.0","0.5","201.7"
"Jaxon Smith-Njigba","SEA","93.7","1,102.8","6.6","2.7","20.7","0.0","0.6","197.7"
"Terry McLaurin","WAS","81.4","1,085.0","7.8","1.1","4.8","0.0","0.9","194.9"
"DK Metcalf","PIT","77.8","1,137.9","7.3","0.0","1.2","0.0","1.3","193.8"
"Marvin Harrison Jr.","ARI","78.9","1,090.4","7.6","0.0","3.2","0.0","1.0","192.5"
"Garrett Wilson","NYJ","90.5","1,083.4","6.0","1.9","13.5","0.0","1.3","188.2"
"DJ Moore","CHI","87.1","1,013.8","6.3","9.5","53.8","0.1","0.9","187.3"
"Xavier Worthy","KC","72.0","894.8","7.2","15.4","84.4","1.5","0.5","185.0"
"Zay Flowers","BAL","75.9","1,034.4","6.3","8.2","48.4","0.1","0.5","183.7"
"Courtland Sutton","DEN","76.7","1,017.7","7.4","0.0","0.2","0.0","0.9","182.8"
"DeVonta Smith","PHI","81.2","976.9","6.8","0.3","1.2","0.0","0.5","178.2"
"Calvin Ridley","TEN","70.1","1,025.1","6.0","5.6","33.4","0.3","0.9","176.7"
"Jerry Jeudy","CLE","81.3","1,096.8","4.1","0.3","4.8","0.0","0.6","174.6"
"Jameson Williams","DET","60.8","963.8","6.1","7.4","63.4","0.8","0.5","173.6"
"George Pickens","DAL","69.2","1,012.7","6.4","1.0","6.2","0.0","0.9","173.3"
"Jakobi Meyers","LV","82.3","964.4","5.3","1.2","8.9","0.0","0.5","169.4"
"Tetairoa McMillan","CAR","73.7","962.1","5.8","0.5","7.4","0.0","1.2","166.1"
"Jaylen Waddle","MIA","75.5","965.3","4.9","2.5","16.1","0.1","0.5","164.4"
"Deebo Samuel Sr.","WAS","65.2","831.7","5.1","29.2","124.2","1.2","1.0","164.3"
"Chris Olave","NO","76.5","944.6","4.4","0.3","2.8","0.0","1.3","156.7"
"Matthew Golden","GB","64.1","891.5","6.0","0.5","9.4","0.0","0.8","156.4"
"Stefon Diggs","NE","77.5","852.1","5.2","1.3","6.9","0.2","0.5","155.9"
"Travis Hunter","JAC","68.3","890.2","5.2","3.8","21.7","0.1","0.8","155.7"
"Jauan Jennings","SF","67.4","887.7","5.2","2.4","10.8","0.1","0.6","154.0"
"Rashee Rice","KC","70.9","831.8","5.8","1.1","4.5","0.0","0.6","152.9"
"Rome Odunze","CHI","65.9","885.9","5.4","1.3","8.0","0.0","0.9","152.7"
