"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Josh Allen","BUF","504.5","341.7","3889.5","26.8","11.6","115.5","577.9","11.1","4.1","367.3"
"Lamar Jackson","BAL","459.1","297.0","3715.2","28.2","9.5","119.2","655.0","3.2","4.2","328.1"
"Drake Maye","NE","512.1","352.3","4143.2","27.6","10.7","98.3","480.6","3.8","5.6","325.0"
"Jalen Hurts","PHI","500.5","325.1","3638.4","24.0","8.1","109.7","463.4","8.3","4.0","321.8"
"Dak Prescott","DAL","586.9","387.3","4328.3","31.2","11.7","54.4","207.9","2.4","2.8","315.8"
"Joe Burrow","CIN","595.0","396.9","4215.6","33.4","11.5","47.2","179.6","1.5","1.9","313.7"
"Jayden Daniels","WAS","496.9","320.8","3620.9","23.0","11.3","126.4","649.9","4.7","2.8","312.7"
"Trevor Lawrence","JAC","556.7","343.9","3992.1","26.3","12.9","81.0","361.0","5.1","3.4","311.7"
"Brock Purdy","SF","555.5","374.9","4220.1","28.1","14.2","70.8","304.1","3.7","4.3","310.9"
"Patrick Mahomes II","KC","559.8","356.5","3888.9","27.4","11.7","63.9","361.2","3.4","2.0","305.8"
"Justin Herbert","LAC","536.8","354.1","3884.4","26.1","11.1","83.2","446.7","2.6","2.8","303.4"
"Caleb Williams","CHI","557.2","335.2","3901.4","27.5","9.4","77.9","383.6","2.4","3.0","303.4"
"Jaxson Dart","NYG","515.7","328.6","3603.5","21.9","11.6","97.4","509.2","5.9","2.9","300.7"
"Kyler Murray","MIN","527.8","351.3","3666.5","24.4","13.8","88.9","517.0","4.2","4.0","298.9"
"Matthew Stafford","LAR","564.4","364.6","4300.2","33.7","9.6","22.2","40.9","0.3","2.8","297.6"
"Bo Nix","DEN","564.7","361.6","3781.8","26.4","11.3","74.3","328.9","3.5","2.0","295.5"
"Jared Goff","DET","558.4","379.6","4358.9","31.9","9.9","24.9","61.5","0.4","3.7","293.3"
"Baker Mayfield","TB","547.2","351.7","3856.0","26.6","12.9","61.6","350.8","1.7","3.7","285.6"
"Tyler Shough","NO","552.2","364.9","3967.3","22.5","11.6","68.5","288.9","3.5","3.6","279.7"
"Jordan Love","GB","517.0","336.8","3957.1","27.1","10.5","48.3","205.4","1.1","3.0","277.7"
"Sam Darnold","SEA","516.1","343.3","4148.9","27.9","13.2","45.3","147.8","1.0","5.3","274.6"
"Daniel Jones","IND","529.5","346.7","3882.3","22.4","11.7","63.7","255.9","3.6","3.8","272.8"
"Malik Willis","MIA","499.7","323.6","3454.5","17.5","12.7","120.1","623.4","4.2","6.1","270.8"
"C.J. Stroud","HOU","556.5","352.9","3933.5","23.0","11.2","51.5","226.0","1.2","3.5","261.0"
"Bryce Young","CAR","526.3","334.9","3458.0","22.0","11.8","59.3","267.8","3.0","3.0","253.6"
"Jacoby Brissett","ARI","557.3","358.3","3739.5","19.6","10.1","49.1","210.7","1.6","4.8","238.8"
"Cam Ward","TEN","555.4","340.2","3525.1","20.5","10.4","43.7","184.9","1.8","5.4","231.1"
"Geno Smith","NYJ","510.8","335.7","3413.3","20.4","14.1","59.7","232.3","1.3","2.2","230.7"
"Aaron Rodgers","PIT","534.4","344.7","3555.1","22.6","9.1","24.0","83.0","0.7","2.7","230.1"
"Fernando Mendoza","LV","391.5","250.5","2607.9","13.9","10.9","43.3","199.1","1.2","2.7","170.5"
"Tua Tagovailoa","ATL","391.1","255.9","2726.9","15.8","8.8","20.1","60.2","0.3","1.8","167.8"
