"Player","Team","FG","FGA","XPT","FPTS"
"Brandon Aubrey","DAL","34.8","39.5","47.0","151.4"
"Jason Myers","SEA","34.7","39.6","46.3","150.4"
"Ka'imi Fairbairn","HOU","36.3","40.5","35.6","144.5"
"Cameron Dicker","LAC","34.3","37.6","39.8","142.7"
"Jake Bates","DET","28.3","33.8","51.2","136.0"
"Harrison Mevis","LAR","27.0","30.2","54.4","135.3"
"Spencer Shrader","IND","30.6","35.2","43.5","135.2"
"Cairo Santos","CHI","30.0","34.5","43.3","133.3"
"Chase McLaughlin","TB","31.5","36.2","38.3","132.9"
"Eddy Pineiro","SF","31.0","34.7","39.5","132.6"
"Cam Little","JAC","29.1","32.5","44.7","132.0"
"Tyler Loop","BAL","28.4","32.5","46.7","132.0"
"Harrison Butker","KC","31.3","36.6","38.1","131.9"
"Will Reichard","MIN","30.9","34.2","38.2","130.8"
"Evan McPherson","CIN","27.7","32.1","45.6","128.6"
"Wil Lutz","DEN","29.0","33.7","41.5","128.5"
"Trey Smack","GB","28.9","34.1","40.2","127.0"
"Tyler Bass","BUF","25.6","30.5","46.8","123.7"
"Daniel Carlson","NO","29.5","34.7","32.8","121.5"
"Nick Folk","ATL","28.3","31.2","36.0","121.1"
"Andy Borregales","NE","25.8","30.9","42.1","119.5"
"Jake Elliott","PHI","26.0","31.8","41.1","119.3"
